time,milliSec,bid_f,ask_f,bid_s,ask_s,short,long
17:48:31,0,4615.2,4616.2,4645.6,4646,-30.8,-29.4
17:48:31,0,4615.2,4616.2,4645.6,4646,-30.8,-29.4
17:48:31,500,4615.2,4616.2,4645.6,4646.2,-31,-29.4
17:48:31,500,4615,4615.2,4645.6,4646.2,-31.2,-30.4
17:48:32,0,4615,4615.2,4645.6,4646,-31,-30.4
17:48:32,0,4615,4616.2,4645.6,4646,-31,-29.4
17:48:32,500,4615,4616.2,4645.6,4646.2,-31.2,-29.4
17:48:32,500,4615,4616,4645.6,4646.2,-31.2,-29.6
17:48:33,0,4615,4616,4645.8,4646.2,-31.2,-29.8
17:48:33,500,4615,4616,4645.8,4646.2,-31.2,-29.8
17:48:33,500,4615,4616,4645.8,4646.2,-31.2,-29.8
17:48:34,0,4615,4616,4647.2,4647.4,-32.4,-31.2
17:48:34,500,4615,4616,4646.4,4647.2,-32.2,-30.4
17:48:34,500,4615.6,4616.2,4646.4,4647.2,-31.6,-30.2
17:48:35,0,4615.6,4616.2,4646.6,4646.8,-31.2,-30.4
17:48:35,0,4615.4,4616.2,4646.6,4646.8,-31.4,-30.4
17:48:35,500,4615.4,4616.2,4646.8,4647.6,-32.2,-30.6
17:48:35,500,4615.4,4616.2,4646.8,4647.6,-32.2,-30.6
17:48:36,0,4615.4,4616.2,4647.4,4647.6,-32.2,-31.2
17:48:36,0,4615.4,4616.4,4647.4,4647.6,-32.2,-31
17:48:36,500,4615.4,4616.4,4646.4,4647.6,-32.2,-30
17:48:36,500,4615.4,4616.4,4646.4,4647.6,-32.2,-30
17:48:37,0,4615.4,4616.4,4646.4,4647.6,-32.2,-30
17:48:37,0,4615.6,4616.4,4646.4,4647.6,-32,-30
17:48:37,500,4615.6,4616.4,4646.8,4647.6,-32,-30.4
17:48:37,500,4615.6,4616.4,4646.8,4647.6,-32,-30.4
17:48:38,0,4615.6,4616.4,4646.8,4647.4,-31.8,-30.4
17:48:38,0,4613.2,4616.4,4646.8,4647.4,-34.2,-30.4
17:48:38,500,4613.2,4616.4,4646.4,4646.8,-33.6,-30
17:48:38,500,4615.2,4616.2,4646.4,4646.8,-31.6,-30.2
17:48:39,0,4615.2,4616.2,4646.2,4646.4,-31.2,-30
17:48:39,0,4614.2,4616.2,4646.2,4646.4,-32.2,-30
